"citizen","geo","time","values","iso2"
"Afghanistan","Austria",2017-02-28,295,"AT"
"Afghanistan","Belgium",2017-02-28,60,"BE"
"Afghanistan","Switzerland",2017-02-28,90,"CH"
"Afghanistan","Germany (until 1990 former territory of the FRG)",2017-02-28,1490,"DE"
"Afghanistan","European Union (28 countries)",2017-02-28,1855,"EU28"
"Afghanistan","Norway",2017-02-28,15,"NO"
"Afghanistan","Slovenia",2017-02-28,10,"SI"
"Afghanistan","Total",2017-02-28,1965,"TOTAL"
"Albania","Austria",2017-02-28,5,"AT"
"Albania","Belgium",2017-02-28,65,"BE"
"Albania","Switzerland",2017-02-28,5,"CH"
"Albania","Germany (until 1990 former territory of the FRG)",2017-02-28,245,"DE"
"Albania","European Union (28 countries)",2017-02-28,310,"EU28"
"Albania","Norway",2017-02-28,15,"NO"
"Albania","Total",2017-02-28,330,"TOTAL"
"Armenia","Austria",2017-02-28,15,"AT"
"Armenia","Belgium",2017-02-28,5,"BE"
"Armenia","Germany (until 1990 former territory of the FRG)",2017-02-28,305,"DE"
"Armenia","European Union (28 countries)",2017-02-28,330,"EU28"
"Armenia","Poland",2017-02-28,5,"PL"
"Armenia","Total",2017-02-28,330,"TOTAL"
"Angola","Austria",2017-02-28,5,"AT"
"Angola","Belgium",2017-02-28,10,"BE"
"Angola","Switzerland",2017-02-28,20,"CH"
"Angola","Germany (until 1990 former territory of the FRG)",2017-02-28,25,"DE"
"Angola","European Union (28 countries)",2017-02-28,40,"EU28"
"Angola","Total",2017-02-28,55,"TOTAL"
"Azerbaijan","Germany (until 1990 former territory of the FRG)",2017-02-28,225,"DE"
"Azerbaijan","European Union (28 countries)",2017-02-28,225,"EU28"
"Azerbaijan","Total",2017-02-28,225,"TOTAL"
"Bosnia and Herzegovina","Austria",2017-02-28,10,"AT"
"Bosnia and Herzegovina","Switzerland",2017-02-28,5,"CH"
"Bosnia and Herzegovina","Germany (until 1990 former territory of the FRG)",2017-02-28,55,"DE"
"Bosnia and Herzegovina","European Union (28 countries)",2017-02-28,70,"EU28"
"Bosnia and Herzegovina","Total",2017-02-28,75,"TOTAL"
"Bangladesh","Austria",2017-02-28,10,"AT"
"Bangladesh","Germany (until 1990 former territory of the FRG)",2017-02-28,35,"DE"
"Bangladesh","European Union (28 countries)",2017-02-28,45,"EU28"
"Bangladesh","Total",2017-02-28,45,"TOTAL"
"Burkina Faso","Belgium",2017-02-28,5,"BE"
"Burkina Faso","Switzerland",2017-02-28,5,"CH"
"Burkina Faso","Germany (until 1990 former territory of the FRG)",2017-02-28,20,"DE"
"Burkina Faso","European Union (28 countries)",2017-02-28,25,"EU28"
"Burkina Faso","Total",2017-02-28,30,"TOTAL"
"Burundi","Belgium",2017-02-28,15,"BE"
"Burundi","European Union (28 countries)",2017-02-28,15,"EU28"
"Burundi","Total",2017-02-28,20,"TOTAL"
"Benin","Germany (until 1990 former territory of the FRG)",2017-02-28,10,"DE"
"Benin","European Union (28 countries)",2017-02-28,15,"EU28"
"Benin","Total",2017-02-28,15,"TOTAL"
"Belarus","Austria",2017-02-28,5,"AT"
"Belarus","Switzerland",2017-02-28,5,"CH"
"Belarus","Germany (until 1990 former territory of the FRG)",2017-02-28,25,"DE"
"Belarus","European Union (28 countries)",2017-02-28,35,"EU28"
"Belarus","Poland",2017-02-28,5,"PL"
"Belarus","Total",2017-02-28,40,"TOTAL"
"Democratic Republic of the Congo","Belgium",2017-02-28,40,"BE"
"Democratic Republic of the Congo","Switzerland",2017-02-28,10,"CH"
"Democratic Republic of the Congo","Germany (until 1990 former territory of the FRG)",2017-02-28,20,"DE"
"Democratic Republic of the Congo","European Union (28 countries)",2017-02-28,60,"EU28"
"Democratic Republic of the Congo","Total",2017-02-28,70,"TOTAL"
"Central African Republic","Switzerland",2017-02-28,5,"CH"
"Central African Republic","Germany (until 1990 former territory of the FRG)",2017-02-28,5,"DE"
"Central African Republic","European Union (28 countries)",2017-02-28,5,"EU28"
"Central African Republic","Total",2017-02-28,10,"TOTAL"
"Congo","Germany (until 1990 former territory of the FRG)",2017-02-28,5,"DE"
"Congo","European Union (28 countries)",2017-02-28,5,"EU28"
"Congo","Total",2017-02-28,5,"TOTAL"
"Côte d'Ivoire","Austria",2017-02-28,5,"AT"
"Côte d'Ivoire","Belgium",2017-02-28,10,"BE"
"Côte d'Ivoire","Switzerland",2017-02-28,50,"CH"
"Côte d'Ivoire","Germany (until 1990 former territory of the FRG)",2017-02-28,155,"DE"
"Côte d'Ivoire","European Union (28 countries)",2017-02-28,170,"EU28"
"Côte d'Ivoire","Total",2017-02-28,220,"TOTAL"
"Cameroon","Austria",2017-02-28,10,"AT"
"Cameroon","Belgium",2017-02-28,20,"BE"
"Cameroon","Switzerland",2017-02-28,20,"CH"
"Cameroon","Germany (until 1990 former territory of the FRG)",2017-02-28,95,"DE"
"Cameroon","European Union (28 countries)",2017-02-28,125,"EU28"
"Cameroon","Total",2017-02-28,145,"TOTAL"
"China (including Hong Kong)","Austria",2017-02-28,10,"AT"
"China (including Hong Kong)","Belgium",2017-02-28,5,"BE"
"China (including Hong Kong)","Switzerland",2017-02-28,15,"CH"
"China (including Hong Kong)","Germany (until 1990 former territory of the FRG)",2017-02-28,50,"DE"
"China (including Hong Kong)","European Union (28 countries)",2017-02-28,65,"EU28"
"China (including Hong Kong)","Total",2017-02-28,80,"TOTAL"
"Colombia","Switzerland",2017-02-28,5,"CH"
"Colombia","European Union (28 countries)",2017-02-28,5,"EU28"
"Colombia","Total",2017-02-28,5,"TOTAL"
"Cuba","European Union (28 countries)",2017-02-28,5,"EU28"
"Cuba","Total",2017-02-28,5,"TOTAL"
"Djibouti","Belgium",2017-02-28,10,"BE"
"Djibouti","European Union (28 countries)",2017-02-28,10,"EU28"
"Djibouti","Total",2017-02-28,10,"TOTAL"
"Algeria","Austria",2017-02-28,20,"AT"
"Algeria","Belgium",2017-02-28,5,"BE"
"Algeria","Switzerland",2017-02-28,25,"CH"
"Algeria","Germany (until 1990 former territory of the FRG)",2017-02-28,210,"DE"
"Algeria","European Union (28 countries)",2017-02-28,235,"EU28"
"Algeria","Slovenia",2017-02-28,5,"SI"
"Algeria","Total",2017-02-28,265,"TOTAL"
"Egypt","Austria",2017-02-28,15,"AT"
"Egypt","Belgium",2017-02-28,5,"BE"
"Egypt","Switzerland",2017-02-28,5,"CH"
"Egypt","Germany (until 1990 former territory of the FRG)",2017-02-28,75,"DE"
"Egypt","European Union (28 countries)",2017-02-28,95,"EU28"
"Egypt","Total",2017-02-28,100,"TOTAL"
"Eritrea","Belgium",2017-02-28,50,"BE"
"Eritrea","Switzerland",2017-02-28,285,"CH"
"Eritrea","Germany (until 1990 former territory of the FRG)",2017-02-28,1080,"DE"
"Eritrea","European Union (28 countries)",2017-02-28,1130,"EU28"
"Eritrea","Norway",2017-02-28,35,"NO"
"Eritrea","Total",2017-02-28,1450,"TOTAL"
"Ethiopia","Belgium",2017-02-28,5,"BE"
"Ethiopia","Switzerland",2017-02-28,20,"CH"
"Ethiopia","Germany (until 1990 former territory of the FRG)",2017-02-28,95,"DE"
"Ethiopia","European Union (28 countries)",2017-02-28,100,"EU28"
"Ethiopia","Norway",2017-02-28,10,"NO"
"Ethiopia","Total",2017-02-28,130,"TOTAL"
"European Union (28 countries)","Austria",2017-02-28,5,"AT"
"European Union (28 countries)","Switzerland",2017-02-28,5,"CH"
"European Union (28 countries)","European Union (28 countries)",2017-02-28,5,"EU28"
"European Union (28 countries)","Total",2017-02-28,10,"TOTAL"
"Extra-EU-28","Austria",2017-02-28,1845,"AT"
"Extra-EU-28","Belgium",2017-02-28,1080,"BE"
"Extra-EU-28","Switzerland",2017-02-28,1380,"CH"
"Extra-EU-28","Germany (until 1990 former territory of the FRG)",2017-02-28,14950,"DE"
"Extra-EU-28","Estonia",2017-02-28,15,"EE"
"Extra-EU-28","European Union (28 countries)",2017-02-28,18215,"EU28"
"Extra-EU-28","Norway",2017-02-28,305,"NO"
"Extra-EU-28","Poland",2017-02-28,300,"PL"
"Extra-EU-28","Slovenia",2017-02-28,30,"SI"
"Extra-EU-28","Total",2017-02-28,19900,"TOTAL"
"Gabon","Belgium",2017-02-28,5,"BE"
"Gabon","European Union (28 countries)",2017-02-28,5,"EU28"
"Gabon","Total",2017-02-28,5,"TOTAL"
"Georgia","Austria",2017-02-28,30,"AT"
"Georgia","Belgium",2017-02-28,25,"BE"
"Georgia","Switzerland",2017-02-28,35,"CH"
"Georgia","Germany (until 1990 former territory of the FRG)",2017-02-28,190,"DE"
"Georgia","European Union (28 countries)",2017-02-28,240,"EU28"
"Georgia","Total",2017-02-28,275,"TOTAL"
"Ghana","Belgium",2017-02-28,5,"BE"
"Ghana","Switzerland",2017-02-28,10,"CH"
"Ghana","Germany (until 1990 former territory of the FRG)",2017-02-28,75,"DE"
"Ghana","European Union (28 countries)",2017-02-28,85,"EU28"
"Ghana","Total",2017-02-28,95,"TOTAL"
"Gambia, The","Austria",2017-02-28,5,"AT"
"Gambia, The","Switzerland",2017-02-28,40,"CH"
"Gambia, The","Germany (until 1990 former territory of the FRG)",2017-02-28,215,"DE"
"Gambia, The","European Union (28 countries)",2017-02-28,220,"EU28"
"Gambia, The","Total",2017-02-28,260,"TOTAL"
"Guinea","Austria",2017-02-28,5,"AT"
"Guinea","Belgium",2017-02-28,60,"BE"
"Guinea","Switzerland",2017-02-28,105,"CH"
"Guinea","Germany (until 1990 former territory of the FRG)",2017-02-28,350,"DE"
"Guinea","European Union (28 countries)",2017-02-28,410,"EU28"
"Guinea","Total",2017-02-28,515,"TOTAL"
"Guinea-Bissau","Switzerland",2017-02-28,5,"CH"
"Guinea-Bissau","Germany (until 1990 former territory of the FRG)",2017-02-28,20,"DE"
"Guinea-Bissau","European Union (28 countries)",2017-02-28,20,"EU28"
"Guinea-Bissau","Total",2017-02-28,25,"TOTAL"
"Honduras","Belgium",2017-02-28,5,"BE"
"Honduras","Germany (until 1990 former territory of the FRG)",2017-02-28,5,"DE"
"Honduras","European Union (28 countries)",2017-02-28,10,"EU28"
"Honduras","Total",2017-02-28,10,"TOTAL"
"Indonesia","Total",2017-02-28,5,"TOTAL"
"India","Austria",2017-02-28,15,"AT"
"India","Switzerland",2017-02-28,5,"CH"
"India","Germany (until 1990 former territory of the FRG)",2017-02-28,85,"DE"
"India","European Union (28 countries)",2017-02-28,105,"EU28"
"India","Total",2017-02-28,105,"TOTAL"
"Iraq","Austria",2017-02-28,85,"AT"
"Iraq","Belgium",2017-02-28,35,"BE"
"Iraq","Switzerland",2017-02-28,60,"CH"
"Iraq","Germany (until 1990 former territory of the FRG)",2017-02-28,1405,"DE"
"Iraq","European Union (28 countries)",2017-02-28,1525,"EU28"
"Iraq","Norway",2017-02-28,30,"NO"
"Iraq","Poland",2017-02-28,5,"PL"
"Iraq","Total",2017-02-28,1615,"TOTAL"
"Iran","Austria",2017-02-28,65,"AT"
"Iran","Belgium",2017-02-28,15,"BE"
"Iran","Switzerland",2017-02-28,25,"CH"
"Iran","Germany (until 1990 former territory of the FRG)",2017-02-28,720,"DE"
"Iran","European Union (28 countries)",2017-02-28,805,"EU28"
"Iran","Poland",2017-02-28,5,"PL"
"Iran","Total",2017-02-28,835,"TOTAL"
"Jamaica","Germany (until 1990 former territory of the FRG)",2017-02-28,15,"DE"
"Jamaica","European Union (28 countries)",2017-02-28,15,"EU28"
"Jamaica","Total",2017-02-28,15,"TOTAL"
"Jordan","Germany (until 1990 former territory of the FRG)",2017-02-28,20,"DE"
"Jordan","European Union (28 countries)",2017-02-28,25,"EU28"
"Jordan","Total",2017-02-28,25,"TOTAL"
"Kenya","Germany (until 1990 former territory of the FRG)",2017-02-28,5,"DE"
"Kenya","European Union (28 countries)",2017-02-28,5,"EU28"
"Kenya","Total",2017-02-28,5,"TOTAL"
"Kyrgyzstan","European Union (28 countries)",2017-02-28,5,"EU28"
"Kyrgyzstan","Total",2017-02-28,5,"TOTAL"
"Kuwait","Germany (until 1990 former territory of the FRG)",2017-02-28,5,"DE"
"Kuwait","European Union (28 countries)",2017-02-28,5,"EU28"
"Kuwait","Total",2017-02-28,5,"TOTAL"
"Kazakhstan","Germany (until 1990 former territory of the FRG)",2017-02-28,10,"DE"
"Kazakhstan","European Union (28 countries)",2017-02-28,15,"EU28"
"Kazakhstan","Total",2017-02-28,15,"TOTAL"
"Lebanon","Austria",2017-02-28,5,"AT"
"Lebanon","Belgium",2017-02-28,5,"BE"
"Lebanon","Germany (until 1990 former territory of the FRG)",2017-02-28,95,"DE"
"Lebanon","European Union (28 countries)",2017-02-28,105,"EU28"
"Lebanon","Total",2017-02-28,110,"TOTAL"
"Sri Lanka","Belgium",2017-02-28,5,"BE"
"Sri Lanka","Switzerland",2017-02-28,45,"CH"
"Sri Lanka","Germany (until 1990 former territory of the FRG)",2017-02-28,25,"DE"
"Sri Lanka","Estonia",2017-02-28,5,"EE"
"Sri Lanka","European Union (28 countries)",2017-02-28,35,"EU28"
"Sri Lanka","Total",2017-02-28,80,"TOTAL"
"Liberia","Switzerland",2017-02-28,5,"CH"
"Liberia","Germany (until 1990 former territory of the FRG)",2017-02-28,10,"DE"
"Liberia","European Union (28 countries)",2017-02-28,10,"EU28"
"Liberia","Total",2017-02-28,15,"TOTAL"
"Libya","Austria",2017-02-28,10,"AT"
"Libya","Belgium",2017-02-28,5,"BE"
"Libya","Switzerland",2017-02-28,10,"CH"
"Libya","Germany (until 1990 former territory of the FRG)",2017-02-28,90,"DE"
"Libya","European Union (28 countries)",2017-02-28,105,"EU28"
"Libya","Total",2017-02-28,115,"TOTAL"
"Morocco","Austria",2017-02-28,25,"AT"
"Morocco","Belgium",2017-02-28,15,"BE"
"Morocco","Switzerland",2017-02-28,35,"CH"
"Morocco","Germany (until 1990 former territory of the FRG)",2017-02-28,165,"DE"
"Morocco","European Union (28 countries)",2017-02-28,205,"EU28"
"Morocco","Norway",2017-02-28,5,"NO"
"Morocco","Total",2017-02-28,245,"TOTAL"
"Moldova","Germany (until 1990 former territory of the FRG)",2017-02-28,105,"DE"
"Moldova","European Union (28 countries)",2017-02-28,105,"EU28"
"Moldova","Total",2017-02-28,105,"TOTAL"
"Montenegro","Germany (until 1990 former territory of the FRG)",2017-02-28,30,"DE"
"Montenegro","European Union (28 countries)",2017-02-28,30,"EU28"
"Montenegro","Total",2017-02-28,30,"TOTAL"
"Former Yugoslav Republic of Macedonia, the","Austria",2017-02-28,5,"AT"
"Former Yugoslav Republic of Macedonia, the","Belgium",2017-02-28,15,"BE"
"Former Yugoslav Republic of Macedonia, the","Germany (until 1990 former territory of the FRG)",2017-02-28,185,"DE"
"Former Yugoslav Republic of Macedonia, the","European Union (28 countries)",2017-02-28,210,"EU28"
"Former Yugoslav Republic of Macedonia, the","Total",2017-02-28,210,"TOTAL"
"Mali","Belgium",2017-02-28,5,"BE"
"Mali","Switzerland",2017-02-28,10,"CH"
"Mali","Germany (until 1990 former territory of the FRG)",2017-02-28,50,"DE"
"Mali","European Union (28 countries)",2017-02-28,55,"EU28"
"Mali","Total",2017-02-28,65,"TOTAL"
"Myanmar/Burma","Germany (until 1990 former territory of the FRG)",2017-02-28,5,"DE"
"Myanmar/Burma","European Union (28 countries)",2017-02-28,5,"EU28"
"Myanmar/Burma","Total",2017-02-28,5,"TOTAL"
"Mongolia","Germany (until 1990 former territory of the FRG)",2017-02-28,25,"DE"
"Mongolia","European Union (28 countries)",2017-02-28,25,"EU28"
"Mongolia","Total",2017-02-28,25,"TOTAL"
"Mauritania","Germany (until 1990 former territory of the FRG)",2017-02-28,5,"DE"
"Mauritania","European Union (28 countries)",2017-02-28,10,"EU28"
"Mauritania","Total",2017-02-28,10,"TOTAL"
"Niger","Germany (until 1990 former territory of the FRG)",2017-02-28,10,"DE"
"Niger","European Union (28 countries)",2017-02-28,15,"EU28"
"Niger","Total",2017-02-28,15,"TOTAL"
"Nigeria","Austria",2017-02-28,135,"AT"
"Nigeria","Belgium",2017-02-28,10,"BE"
"Nigeria","Switzerland",2017-02-28,65,"CH"
"Nigeria","Germany (until 1990 former territory of the FRG)",2017-02-28,515,"DE"
"Nigeria","European Union (28 countries)",2017-02-28,660,"EU28"
"Nigeria","Total",2017-02-28,725,"TOTAL"
"Nepal","Germany (until 1990 former territory of the FRG)",2017-02-28,5,"DE"
"Nepal","European Union (28 countries)",2017-02-28,10,"EU28"
"Nepal","Total",2017-02-28,10,"TOTAL"
"Peru","Norway",2017-02-28,5,"NO"
"Peru","Total",2017-02-28,5,"TOTAL"
"Pakistan","Austria",2017-02-28,145,"AT"
"Pakistan","Belgium",2017-02-28,10,"BE"
"Pakistan","Switzerland",2017-02-28,10,"CH"
"Pakistan","Germany (until 1990 former territory of the FRG)",2017-02-28,325,"DE"
"Pakistan","European Union (28 countries)",2017-02-28,490,"EU28"
"Pakistan","Poland",2017-02-28,5,"PL"
"Pakistan","Slovenia",2017-02-28,5,"SI"
"Pakistan","Total",2017-02-28,505,"TOTAL"
"Palestine","Belgium",2017-02-28,50,"BE"
"Palestine","European Union (28 countries)",2017-02-28,50,"EU28"
"Palestine","Total",2017-02-28,50,"TOTAL"
"Serbia","Austria",2017-02-28,10,"AT"
"Serbia","Switzerland",2017-02-28,5,"CH"
"Serbia","Germany (until 1990 former territory of the FRG)",2017-02-28,205,"DE"
"Serbia","European Union (28 countries)",2017-02-28,215,"EU28"
"Serbia","Norway",2017-02-28,5,"NO"
"Serbia","Total",2017-02-28,225,"TOTAL"
"Russia","Austria",2017-02-28,120,"AT"
"Russia","Belgium",2017-02-28,30,"BE"
"Russia","Switzerland",2017-02-28,10,"CH"
"Russia","Germany (until 1990 former territory of the FRG)",2017-02-28,390,"DE"
"Russia","European Union (28 countries)",2017-02-28,750,"EU28"
"Russia","Norway",2017-02-28,5,"NO"
"Russia","Poland",2017-02-28,210,"PL"
"Russia","Total",2017-02-28,765,"TOTAL"
"Rwanda","Belgium",2017-02-28,10,"BE"
"Rwanda","Germany (until 1990 former territory of the FRG)",2017-02-28,5,"DE"
"Rwanda","European Union (28 countries)",2017-02-28,15,"EU28"
"Rwanda","Total",2017-02-28,15,"TOTAL"
"Saudi Arabia","European Union (28 countries)",2017-02-28,5,"EU28"
"Saudi Arabia","Total",2017-02-28,5,"TOTAL"
"Sudan","Switzerland",2017-02-28,5,"CH"
"Sudan","Germany (until 1990 former territory of the FRG)",2017-02-28,55,"DE"
"Sudan","European Union (28 countries)",2017-02-28,60,"EU28"
"Sudan","Total",2017-02-28,65,"TOTAL"
"Sierra Leone","Austria",2017-02-28,5,"AT"
"Sierra Leone","Switzerland",2017-02-28,10,"CH"
"Sierra Leone","Germany (until 1990 former territory of the FRG)",2017-02-28,105,"DE"
"Sierra Leone","European Union (28 countries)",2017-02-28,110,"EU28"
"Sierra Leone","Total",2017-02-28,120,"TOTAL"
"Senegal","Belgium",2017-02-28,10,"BE"
"Senegal","Switzerland",2017-02-28,15,"CH"
"Senegal","Germany (until 1990 former territory of the FRG)",2017-02-28,35,"DE"
"Senegal","European Union (28 countries)",2017-02-28,45,"EU28"
"Senegal","Total",2017-02-28,60,"TOTAL"
"Somalia","Austria",2017-02-28,30,"AT"
"Somalia","Belgium",2017-02-28,15,"BE"
"Somalia","Switzerland",2017-02-28,35,"CH"
"Somalia","Germany (until 1990 former territory of the FRG)",2017-02-28,550,"DE"
"Somalia","European Union (28 countries)",2017-02-28,595,"EU28"
"Somalia","Norway",2017-02-28,5,"NO"
"Somalia","Total",2017-02-28,635,"TOTAL"
"South Sudan","Germany (until 1990 former territory of the FRG)",2017-02-28,5,"DE"
