"EN","DE","FR","IT","ES","PT","RU","ZH","JA","AR","asylumApplication","asylByPop","asylByGDP","absDiff"
"Austria","Österreich","Autriche","Austria","Austria","Áustria","Австрия","奥地利","オーストリア","النمسا",39895,4591,807,-45625
"Belgium","Belgien","Belgique","Belgio","Bélgica","Bélgica","Бельгия","比利时","ベルギー","بلجيكا",14290,1263,312,-24775
"Bulgaria","Bulgarien","Bulgarie","Bulgaria","Bulgaria","Bulgária","Болгария","保加利亚","ブルガリア","بلغاريا",18990,2655,1041,-1175
"Switzerland","Schweiz","Suisse","Svizzera","Suiza","Suíça","Швейцария","瑞士","スイス","سويسرا",25875,3107,414,-12245
"Cyprus","Zypern","Chypre","Cipro","Chipre","Chipre","Кипр","塞浦路斯","キプロス","قبرص",2840,3348,89,735
"Czech Republic","Tschechische Republik","République tchèque","Repubblica Ceca","República Checa","República Tcheca","Чешская Республика","捷克共和国","チェコ","تشيكيا",1205,114,36,-35
"Germany","Deutschland","Allemagne","Germania","Alemania","Alemanha","Германия","德国","ドイツ","ألمانيا",722365,8790,15036,280465
"Denmark","Dänemark","Danemark","Danimarca","Dinamarca","Dinamarca","Дания","丹麦","デンマーク","الدنمارك",6070,1064,126,-14785
"Estonia","Estland","Estonie","Estonia","Estonia","Estônia","Эстония","爱沙尼亚","エストニア","استونيا",150,114,5,-75
"Spain","Spanien","Espagne","Spagna","España","Espanha","Испания","西班牙","スペイン","إسبانيا",15570,335,446,960
"Finland","Finnland","Finlande","Finlandia","Finlandia","Finlândia","Финляндия","芬兰","フィンランド","فنلندا",5295,965,125,-26855
"France","Frankreich","France","Francia","Francia","França","Франция","法国","フランス","فرنسا",75990,1138,1853,5420
"United Kingdom","Vereinigtes Königreich","Royaume-Uni","Regno Unito","Reino Unido","Reino Unido","Британия","英国","英国","المملكة المتحدة",38380,587,919,NA
"Greece","Griechenland","Grèce","Grecia","Grecia","Grécia","Греция","希腊","ギリシャ","اليونان",49875,4625,1891,NA
"Croatia","Kroatien","Croatie","Croazia","Croacia","Croácia","Хорватия","克罗地亚","クロアチア","كرواتيا",2150,513,95,2005
"Hungary","Ungarn","Hongrie","Ungheria","Hungría","Hungria","Венгрия","匈牙利","ハンガリー","هنغاريا",28215,2870,1066,-146220
"Ireland","Irland","Irlande","Irlanda","Irlanda","Irlanda","Ирландия","爱尔兰","アイルランド","أيرلندا",2235,473,33,-1035
"Iceland","Island","Islande","Islanda","Islandia","Islândia","Исландия","冰岛","アイスランド","أيسلندا",1105,3323,23,NA
"Italy","Italien","Italie","Italia","Italia","Itália","Италия","意大利","イタリア","إيطاليا",121185,1998,3256,37940
"Lithuania","Litauen","Lituanie","Lituania","Lituania","Lituânia","Литва","立陶宛","リトアニア","ليتوانيا",410,142,14,135
"Luxembourg","Luxemburg","Luxembourg","Lussemburgo","Luxemburgo","Luxemburgo","Люксембург","卢森堡","ルクセンブルク","لوكسمبورغ",2065,3584,20,-295
"Latvia","Lettland","Lettonie","Lettonia","Letonia","Letônia","Латвия","拉脱维亚","ラトビア","لاتفيا",345,175,14,15
"Malta","Malta","Malte","Malta","Malta","Malta","Мальта","马耳他","マルタ","مالطا",1735,3994,51,40
"Netherlands","Niederlande","Pays-Bas","Paesi Bassi","Países Bajos","Holanda","Нидерланды","荷兰","オランダ","هولندا",19285,1136,389,-23750
"Norway","Norwegen","Norvège","Norvegia","Noruega","Noruega","Норвегия","挪威","ノルウェー","النرويج",3275,629,53,-27230
"Poland","Polen","Pologne","Polonia","Polonia","Polônia","Польша","波兰","ポーランド","بولندا",9785,258,364,-470
"Portugal","Portugal","Portugal","Portogallo","Portugal","Portugal","Португалия","葡萄牙","ポルトガル","البرتغال",710,69,24,-160
"Romania","Rumänien","Roumanie","Romania","Rumania","Romênia","Румыния","罗马尼亚","ルーマニア","رومانيا",1855,94,84,630
"Sweden","Schweden","Suède","Svezia","Suecia","Suécia","Швеция","瑞典","スウェーデン","السويد",22385,2272,468,-133810
"Slovenia","Slowenien","Slovénie","Slovenia","Eslovenia","Eslovênia","Словения","斯洛文尼亚","スロベニア","سلوفينيا",1265,613,40,1005
"Slovakia","Slowakei","Slovaquie","Slovacchia","República Eslovaca","Eslováquia","Словакия","斯洛伐克","スロバキア","سلوفاكيا",100,18,3,-170
